region;superf_ha_2003;rdt_kg_ha_2003;prod_tonn_2003;superf_ha_2004;rdt_kg_ha_2004;prod_tonn_2004;superf_ha_2005;rdt_kg_ha_2005;prod_tonn_2005;superf_ha_2006;rdt_kg_ha_2006;prod_tonn_2006;superf_ha_2007;rdt_kg_ha_2007;prod_tonn_2007;superf_ha_2008;rdt_kg_ha_2008;prod_tonn_2008;superf_ha_2009;rdt_kg_ha_2009;prod_tonn_2009;superf_ha_2010;rdt_kg_ha_2010;prod_tonn_2010;superf_ha_2011;rdt_kg_ha_2011;prod_tonn_2011;superf_ha_2012;rdt_kg_ha_2012;prod_tonn_2012
Dakar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Diourbel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fatick;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,25;659;27,18375;24;931;22,344;48,25;908,1865285;43,82;56,5;454,8141593;25,697
Kaffrine;1855;948;1758,54;0;0;0;1190,75;840;1000,23;1777;900;1599,3;2493,25;655;1633,07875;1977,75;943;1865,01825;1701,5;1170;998,4105;1225;1758;1076,775;1607,25;2152,500023;732,78;1591,5;602,8432297;959,425
Kaolack;463,25;706;327,0545;1889,25;1488;1271,7015;378,75;944;357,54;585;900;526,5;540,5;797;430,7785;89,75;1047;93,96825;46,75;674;31,5095;142;931;132,202;94,25;1317,886179;58,4;217;510,5668203;110,793
Kolda;29137;2521;36854,816;28567,75;1760;25389,48325;23344;2358;27848,052;25923;2311;29877,049;25370;2017;25686,35525;19044,5;2442;23292,3105;11516,25;2687;11145,19125;15574;2722;15112,132;14433,25;2858,10614;15121,266;20511;2727,993037;20752,06608
Sédhiou;491;1177;577,907;383,5;780;299,13;396;993;393,228;907;1176;1066,632;1133;1009;1143,197;1048,75;1093;1146,28375;443,5;650;288,275;255;1244;158,95;446,5;1512,979592;340,574;462,5;944,4093874;227,0879302
Louga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saint Louis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tambacounda;7170,5;1975;7542,13275;7140,75;1998;6891,57675;8768,75;2186;9901,1375;9281;1740;8074,47;9778,75;2294;11216,22625;7306;2313;8310,1525;6305,5;3740;6389,4975;7683;3191;6542,9;7457;3238,868989;6538;8970,75;3359,612817;7978,006
Thiès;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ziguinchor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Matam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kédougou;7044,25;1122;7903,6485;5576;1043;5815,768;4141,5;1334;5524,761;5296;1245;6593,52;3841;1309;5027,869;2897;1362;3945,714;2688,25;3453;3209,628;2683;3463;2999,609;2556;2975,822105;2532;1884,75;3476,969699;2197,129
