region;superf_ha_2003;rdt_kg_ha_2003;prod_tonn_2003;superf_ha_2004;rdt_kg_ha_2004;prod_tonn_2004;superf_ha_2005;rdt_kg_ha_2005;prod_tonn_2005;superf_ha_2006;rdt_kg_ha_2006;prod_tonn_2006;superf_ha_2007;rdt_kg_ha_2007;prod_tonn_2007;superf_ha_2008;rdt_kg_ha_2008;prod_tonn_2008;superf_ha_2009;rdt_kg_ha_2009;prod_tonn_2009;superf_ha_2010;rdt_kg_ha_2010;prod_tonn_2010;superf_ha_2011;rdt_kg_ha_2011;prod_tonn_2011;superf_ha_2012;rdt_kg_ha_2012;prod_tonn_2012
Dakar;510;900;459;250;2000;500;600;1300;780;495;750;371,25;8;300;2,4;324;850;275,4;21,99243868;850;18,69357288;387;1100;425,7;381,0509733;890;339,1353663;823;1004;826,292
Diourbel;750;511;126,868;340;625;80,95;566;1350;410,05;308;800;98,2;751,963096;1029;262,5591205;675;1200;405;675,9304296;1800;405,5582577;313;1382;200,203;446,9510991;956,65;254,0199554;807,1610144;2058;614,6388622
Fatick;13022;3757;29218,95;340;625;80,95;5365;4109;13914,886;4642;3300;7508;6490;1023;5098,961;19533;1943;21088,83;16833,81398;2643;17640,47719;8662;3128;9979,943;15042,07422;2971,6;17544,59106;18232,23543;4076;29095,2055
Kaffrine;20021;1800;36037,8;17761;2730;48487,53;12503;2300;28756,9;13260;1415;18762,9;20721;691;14318,211;26980;1366;36854,68;37496,95987;4884,396753;46080,78905;21143;5508;29267,26;19410,45397;3562,295356;16360,45328;23732,3838;5741;34243,45082
Kaolack;25877;4200;57584,7;28562;5645;81528,295;20220;5078;56268,996;16936;3205;28347,595;25183;2608;45697,004;44619;3767;106937,249;28805,71115;3525,75188;60369,2544;20358;4127;38787,695;20342,91504;3143,74875;30768,88913;28454;3532;43964,525
Kolda;41121;5542;115052,242;35874;6008;107258,25;40725;6050;123382,45;43875;3200;72550,2;32391;2681;41011,488;43964;4057;92252,014;0;0;0;18988;5258;31626,662;15864,53898;4081,383333;20453,30948;21144;6274;45256,544
Sédhiou;13259;2064,15;27368,56485;12952;2785;36071,32;22232;3000;66696;14626;948;13865,448;14845;717;10643,865;20170;1834;36991,78;25845,96928;6020,075356;53728,99911;11321;4651;17601,517;4393,405745;2312,370968;3377,753478;8221;4439;11739,893
Louga;2051;450;429,9;628;0;0;1124;700;786,8;2267;700;1586,9;1633;700;1143,1;1282;1775;1334,425;3068,036777;277,5;851,3802055;2475;650;1608,75;2887,366417;617,5;1782,948762;2302;1400;1611,4
Saint Louis;0;0;0;849;0;0;962;7000;3367;234;7200;824;0;0;0;593,75;5500;1442,375;424,2961158;2500;1060,740289;5332;5000;13330;0;0;0;941;6500;3058,25
Tambacounda;35049;5245;89342,89;24905;5329;74046,761;26890;5500;78061;22942;1893;22294,008;30253;1752;28318,352;37404;2813;48513,96;0;0;0;24874;5632;32637,016;18656,81768;2432,800323;11756,24777;25866;4552,351667;26754,51641
Thiès;4654;2600;3358,3;2163;300;226,6;627;1950;421,6;534;1100;301,6;924;1000;530,8;887;1550;674;1647,693192;940;534,9377353;991;1500;614,1;818,5033137;1295,666667;379,2132206;1143,5063;1850;740,7636105
Ziguinchor;6576;5525;13073,974;5181;5949;11922,849;5874;5949;13408,005;5439;4250;7358,5;4141;1595;2678,584;3960;5151;4650,364;1277,822393;2619;1184,541739;641;2135;582,058;558,4929162;1303,5;407,5233533;254,2520447;2669,15;232,9315357
Matam;938;5300;1443,8;791;700;276,85;611;8600;1902,5;515;600;309;3457;11880;20534,58;1873;6150;3834,02;193,1715395;3132,25;281,3305751;786;2679;1170,153;1042,777086;2879;1121,741476;1637,143286;4757;2762,172375
Kédougou;9561;1743;16664,823;6654;1976;13148,304;4545;2500;11362,5;4388;1688;7406,944;5093;910;4634,63;6522;1672;10904,784;3310,901202;5204,877132;5905,287184;4964;5166;8679,976;4339,415183;3353,975;6216,003386;12591,48594;4758;20845,72183
