region;superf_ha_2003;rdt_kg_ha_2003;prod_tonn_2003;superf_ha_2004;rdt_kg_ha_2004;prod_tonn_2004;superf_ha_2005;rdt_kg_ha_2005;prod_tonn_2005;superf_ha_2006;rdt_kg_ha_2006;prod_tonn_2006;superf_ha_2007;rdt_kg_ha_2007;prod_tonn_2007;superf_ha_2008;rdt_kg_ha_2008;prod_tonn_2008;superf_ha_2009;rdt_kg_ha_2009;prod_tonn_2009;superf_ha_2010;rdt_kg_ha_2010;prod_tonn_2010;superf_ha_2011;rdt_kg_ha_2011;prod_tonn_2011;superf_ha_2012;rdt_kg_ha_2012;prod_tonn_2012
Dakar;101;5000;505;178;6000;1068;665;7000;4655;150;5250;787,5;148;4000;592;280;8000;2240;593,7200485;8000;4749,760388;546;8500;4641;184,556143;8500;1568,727215;215;7000;1505
Diourbel;472;8000;3776;2101;1400;1225;2250;30000;23595;321;9500;967;1214;20500;8265;2350;17500;14075;666,0090863;17500;3711,821462;210;7000;1470;57,61612382;11000;347,4755882;174,4536688;7500;1308,402516
Fatick;0;0;0;0;0;0;0;0;0;0;0;0;570;11000;1863;4051;20000;27382;1357,268495;20000;8919,215545;196;13000;1343;172,8978706;13000;1250,870468;364,5763563;19500;3540,475385
Kaffrine;0;0;0;1569;5000;7845;325;10000;3250;141;5000;705;40;5000;200;4000;6000;24000;497,5968319;12000;2985,580992;99;13000;643,5;151,9165991;19500;987,4578939;121,8677366;22500;850,3676802
Kaolack;87;10000;435;890;13500;6525;2793;25000;40120;0;0;0;415;9000;2060;6120;14000;41960;1684,464578;8000;13475,71662;1312;31500;14775,5;1346,401283;31500;15264,31351;834,0412208;34750;9656,987019
Kolda;83;5000;415;1020;10200;5159,6;3259;30000;48885;1831;10000;9155;2182;10000;10910;2750;20000;27500;843,6359089;15895;4850,411494;1191;15543;4549,536;4071,660876;22188;30535,21238;986,8951732;23973;7829,23025
Sédhiou;0;0;0;28;6000;168;612;20000;12240;462;6000;2772;348;5000;1740;550;10000;5500;484,3883925;20000;4843,883925;864;30592;8879,168;709,82006;30592;7276,9846;269,3319865;20000;2693,319865
Louga;2258;10000;11290;1991;6000;3982;2201;16500;12059,5;0;0;0;0;0;0;4323;18000;25938;0;0;0;369;12000;2214;1122,314404;18000;6733,886426;892,5052153;6000;5355,031292
Saint Louis;0;0;0;0;0;0;0;0;0;91;12000;1092;91;12000;1092;734,51;30000;11017,65;145,3097113;4572,8;664,4722478;641;4572,8;2931,1648;631,6538424;4572,8;2888,426691;990,4735531;5148;5098,957851
Tambacounda;0;0;0;320;2000;640;0;0;0;140;13000;1820;40;13000;520;350;30000;5250;256,5282639;30000;3847,923959;28;11500;322;45;25500;560;0;0;0
Thiès;33058;15000;165290;37275;14000;182076;12174;26000;114313;14712;22500;96283,5;54422;15000;272110;85590;26000;720220;25668,04024;26000;216271,8251;19518;24500;137259,5;11934,92934;24500;85139,40654;18268,38367;25500;139294,8567
Ziguinchor;0;0;0;0;0;0;0;0;0;0;0;0;153;12500;835;490;30000;4900;121,2652881;20000;1212,652881;232;20250;2207,75;243;20250;2326;182,7622698;20700;1835,987074
Matam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;15000;30;0;0;0;0;0;0;0;0;0;0;0;0
Kédougou;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;15000;600;0;0;0;0;0;0;0;0;0;0;0;0
