region;superf_ha_2003;rdt_kg_ha_2003;prod_tonn_2003;superf_ha_2004;rdt_kg_ha_2004;prod_tonn_2004;superf_ha_2005;rdt_kg_ha_2005;prod_tonn_2005;superf_ha_2006;rdt_kg_ha_2006;prod_tonn_2006;superf_ha_2007;rdt_kg_ha_2007;prod_tonn_2007;superf_ha_2008;rdt_kg_ha_2008;prod_tonn_2008;superf_ha_2009;rdt_kg_ha_2009;prod_tonn_2009;superf_ha_2010;rdt_kg_ha_2010;prod_tonn_2010;superf_ha_2011;rdt_kg_ha_2011;prod_tonn_2011;superf_ha_2012;rdt_kg_ha_2012;prod_tonn_2012
Dakar;22;600;13,2;37;250;9,25;10;500;5;109;400;43,6;39;175;6,825;6;500;3;0;0;0;0;0;0;0;0;0;0;0;0
Diourbel;104882;1921;67549,046;78680;219;4423,432;90050;2314;67590,401;88960;1733;50671,82;97517;1365;41734,655;97840;1860,57;57397,32659;174034,0059;1955,709964;112916,8744;121197;1801;69124,14;104203,6852;1722,448333;63308,21562;124779;2089;90189,963
Fatick;154494;2466;129384,458;114767;1883;74568,107;125239;2236;92751,044;139823;2146;96683,454;115187;1341;51311,017;115885;1964;77038,22;171227,9025;2595;145862,2438;188048;2898;177257,124;155185,4916;1945,293333;92524,49697;144441;2505;119550,819
Kaffrine;146239;900;131615,1;99187;661;65562,607;125396;858;107589,768;101363;871;88287,173;82519;410;33832,79;119071;823;97995,433;152900,199;3378,598676;128388,4215;187165;3577;170853,471;119452,0288;2969,755;87095,62126;124477;3531;109288,131
Kaolack;114652;2094;120384,024;96527;1224;57464,514;107771;1848;102715,541;104635;1710;90609,861;87640;1222;60920,482;118000;1638;100742,256;144819,6624;1989,793139;112432,0321;141498;2248;114321,981;118177,6265;2305,315;98796,62921;113356;2924;109648,623
Kolda;13850;1769;12047,337;13195;1733;12300,428;15499;1799;13933,782;22547;1730;20877,06;19139;1856;17423,094;37841;1818;31632,07;33502,76975;2252;24324,42249;25579;2187;20099,603;22166,32799;2234,75;17406,01718;21462;2595;18605,301
Sédhiou;17335;1060;18375,1;16618;828;13759,704;33257;842;28002,394;29908;715;21384,22;29488;685;20199,28;45594;1035;47189,79;60753,13651;3674,731993;74292,31985;47612;3448;53784,926;33682,4494;2249,709677;25415,19652;34167;3493;40601,165
Louga;94061;719;24370,974;91064;122;4016,965;75103;1360;34060,238;73070;519;14753,62;64868;568;13461,237;76837;1714;44426,944;108292,3893;1359,299795;49323,22705;95506;1372;43711,816;65382,56436;799,3333333;15758,54223;61700;1644;35329,345
Saint Louis;2560;430;876,29;3709;0;0;2089;1300;1296,3;3963;820;1074,8;1323;500;370,7;1875;300;562,5;3992,181399;301,7047619;433,5089963;9906;458;2285,383;10920,96449;895,8;2819,868259;4517;653;1093,988
Tambacounda;70145;2049;58949,805;48845;2992;71142,157;53228;1925;47385,8;44882;1969;45487,686;50714;1271;33751,721;71388;2454;88699,3;50285,55075;4093,933333;47574,87541;57428;3097;43069,65;39516,93261;2375,975;24705,62097;43970;3685,72226;38834,23275
Thiès;102952;1276;40175,1;89136;185;6480,253;110063;1815;65189,815;95833;1623;48128,813;88917;737;23941,33;126928;2127;88154,899;90728,70263;2058,110877;63035,978;108053;2143;78428,368;79319,95962;1753,345283;43852,07276;102989,0111;2188,09068;74941,17374
Ziguinchor;19200;2837;17656,589;19592;1810;12037,115;27338;2934;22619,232;17301;2480;13125,13;18603;1603;9867,057;25629;2357;18701,711;20631,32084;1920,907143;15355,87528;21318;2368;16134,907;6717,379504;1830,359615;3898,938122;9285;2538,641667;7828,255792
Matam;16966;1264;6928,897;15572;490;1987,876;35716;2039;25406,43;25917;400;3217,75;30938;1321;12001,829;35248;1489;15757,006;40499,79548;2841,604381;36180,81311;29810;2663;24190,312;24896,72384;746,3333333;5015,191765;32269,76856;1652;16645,14716
Kédougou;100;1000;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180,9189069;900;162,8270162;0;0;0
