region;superf_ha_2003;rdt_kg_ha_2003;prod_tonn_2003;superf_ha_2004;rdt_kg_ha_2004;prod_tonn_2004;superf_ha_2005;rdt_kg_ha_2005;prod_tonn_2005;superf_ha_2006;rdt_kg_ha_2006;prod_tonn_2006;superf_ha_2007;rdt_kg_ha_2007;prod_tonn_2007;superf_ha_2008;rdt_kg_ha_2008;prod_tonn_2008;superf_ha_2009;rdt_kg_ha_2009;prod_tonn_2009;superf_ha_2010;rdt_kg_ha_2010;prod_tonn_2010;superf_ha_2011;rdt_kg_ha_2011;prod_tonn_2011;superf_ha_2012;rdt_kg_ha_2012;prod_tonn_2012
Dakar;154;432;66,528;410;150;61,5;1102;550;606,1;554;566;313,564;762;160;121,92;336;676,7857143;227,4;763,2577293;375;286,2216485;857;407;348,799;2360,993444;407;960,9243319;2162;457;988,034
Diourbel;22815;945;6752,22;27773;43;395,76;34964;1316;15629,432;32053;735;8308,928;33643;516;6197,421;39736;1014;13443,432;50898,88076;987,8602151;17729,8854;14391;911;4387,257;10496,85528;553,24;1821,535978;20404;884;5859,962
Fatick;8897;786;1746,65;9635;1061;3212,108;14750;1552;7825,102;11291;1241;4233,989;8048;634;1350,799;16255;1452;8577,942;21779,60278;1409,548387;10981,86775;11278;1420;5321,431;9728,388641;879,5686275;1409,722363;17013,15723;1783;7554,079919
Kaffrine;1876;400;750,4;2037;500;1018,5;2085;550;1146,75;3122;500;1561;2618;400;1047,2;11369;433;4922,777;4776,161003;1848,142857;2214,556702;896;1714;397,202;1256,050044;1590,714286;462,1724927;1342,545885;1910;636,7454719
Kaolack;1201;450;388,1;2563;1000;1640,1;969;1300;638,5;1512;800;699;833;800;355,9;4350;1200;2610;2511,879602;1387,777778;1097,480497;1295;1436;404,358;1947,704944;1202,142857;687,4705886;2727,736566;2141;1927,855596
Kolda;637;900;295,7;1176;900;532,4;980;1050;499,3;1428;900;642,6;859;850;361,2;10322;1100;6431,6;1258,018364;1301;538,5166269;686;1650;385,3;655,3730082;1590;360,9362355;335;1778;192,658
Sédhiou;523;600;313,8;314;500;157;603;650;391,95;901;600;540,6;506;650;328,9;4410;650;2866,5;3637,377178;1950;2364,295166;2390;1950;1553,5;3100,486324;1663;1714,533071;4199,76084;1839;2983,493677
Louga;71685;677;15165,554;91316;131;2100,943;99960;1229;41198,74;85979;792;20614,874;70064;878;19782,62;110294;1476;54690,352;89023,79974;1198,335766;36276,26502;58487;908;19574,714;41791,47733;1049,34;16400,01498;47961;1324;21094,834
Saint Louis;8593;697;1815,6;11908;4,62;41,57538;15218;1300;6063,6;8939;1000;2153,2;10422;561;910,199;7117;758;1627,676;6332,024776;725,7260274;1241,348411;10557;672;2233,994;7133,743924;742,5528667;1850,257567;8001;940;2205,4
Tambacounda;1240;1300;761,1;3382;1000;1691;2046;1250;1324,45;2747;450;1236,15;2291;450;1030,95;4361;1248;3182,172;2192,688153;1500;1096,344076;839;1250;466,85;730,2051794;549,0571429;205,7028643;876,8785198;2372;504,2472599
Thiès;26500;529;6434,15;32483;56;424,032;45079;1117;15860,395;40340;931;11994,12;36045;634;8231,219;42064;1387;20261,709;30396,27068;1182;12134,53047;15272;2019;10852,249;12331,63715;682,9474201;1388,950474;20941,63585;1285,150769;9553,193633
Ziguinchor;1139;1140;183,56;451;1450;223,75;885;1300;575,25;779;1300;403,6;1292;1050;649,5;4550;2050;2627,5;1871,170203;900;561,3510609;1466;1363;473,55;1291,985866;1217,306667;405,6054706;1507,114168;1633,786667;824,6598805
Matam;227;565;31,285;4733;180;485,64;3266;1130;1118,03;3817;300;228,95;442;200;24;1600;900;480;342,2863383;600;102,6859015;9830;850;2480,55;1705,131882;850;442,1103216;1733,261263;1054;689,7314422
Kédougou;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;500;105,5;0;0;0;0;0;0;0;0;0;0;0;0
