region;superf_ha_2003;rdt_kg_ha_2003;prod_tonn_2003;superf_ha_2004;rdt_kg_ha_2004;prod_tonn_2004;superf_ha_2005;rdt_kg_ha_2005;prod_tonn_2005;superf_ha_2006;rdt_kg_ha_2006;prod_tonn_2006;superf_ha_2007;rdt_kg_ha_2007;prod_tonn_2007;superf_ha_2008;rdt_kg_ha_2008;prod_tonn_2008;superf_ha_2009;rdt_kg_ha_2009;prod_tonn_2009;superf_ha_2010;rdt_kg_ha_2010;prod_tonn_2010;superf_ha_2011;rdt_kg_ha_2011;prod_tonn_2011;superf_ha_2012;rdt_kg_ha_2012;prod_tonn_2012
Dakar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Diourbel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fatick;1112;1750;909;501;200;100,2;205;2600;231,1;532;2700;788,1;6490;1023;5098,961;806;7000;2821;432,7475996;3500;1514,616598;779;7000;2726,5;1157,945707;4560;3640,533163;2500;3000;3750
Kaffrine;0;0;0;221;1300;287,3;206;1500;309;255;1200;306;51;1000;51;75;2152;161,4;1292,948532;4304;2782,425241;179;5464;361,4;441,1434549;3190;470,761767;0;0;0
Kaolack;98;1300;127,4;0;0;0;0;0;0;49;1300;63,7;0;0;0;1313;2000;2626;582,9910024;1833,333333;1068,816838;481;3500;841,75;973,665533;4463;1550,709377;532;3362;900,286
Kolda;5005;2617;6908,286;5592;2792;9274,8;8350;3235;15525,41;7266;2700;10641,9;7137;1954;7722,09;15636;3628;36393,72;16578,26462;7078,91004;41748,89689;22494;5969;41364,2;7156,004717;4220,833333;11290,64731;8061;8388;22837,139
Sédhiou;17661;1269;22411,809;11681;1269;14823,189;17713;1579;27968,827;9046;1124;10167,704;8951;1131;10123,581;24096;1621;39059,616;36181,98105;4233,926917;51347,40329;18288;4960;29142,424;3420,148911;2010,301667;2318,902084;0;0;0
Louga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saint Louis;19271;10900;104572,2;24559;11750;142045,24;23285;15400;131701,1;21000;9200;88900;22630;11200;123022,4;32718;12000;196308;30434;11750;176853,25;30381;12250;187920;27455;12250;169636,5;52617,71;12037;317523,9553
Tambacounda;842;6200;1880,6;1329;4400;1443,1;494;6635;762,085;1899;6575;4703,425;885;4600;673,8;4081;5500;10271,5;1031,602736;10500;2690,506839;997;10475;2659,25;714,4326551;9200;2709,569186;2016;10875;10559,325
Thiès;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1200;10,8;0;0;0
Ziguinchor;39899;5679;76898,634;33825;3677;37799,631;43247;6476;79927,8;40478;4570;51564,86;36660;2285;30922,534;37878;6722;80029,832;23422,65586;4910,346154;38958,93149;28283;5589;46522,225;20292,4158;3106;20865,85039;22847,37997;6068,333333;44066,55132
Matam;3126;11000;17193;4676;10870;26404,12;3613;5700;20594,1;4200;5500;23100;3457;11880;20534,58;4431;6000;26586;4757;5500;26163,5;4290;6000;25740;4720;12000;28320;4594;5000;24752,72
Kédougou;800;1130;904;296;880;260,48;312;1367;426,504;312;825;257,4;368;800;294,4;703;1183;831,649;269,9866115;3180;286,1858082;1406;3173;1493,23;739,0936155;3173;817,7935563;1560,127511;9735;4661,445556
