region;superf_ha_2003;rdt_kg_ha_2003;prod_tonn_2003;superf_ha_2004;rdt_kg_ha_2004;prod_tonn_2004;superf_ha_2005;rdt_kg_ha_2005;prod_tonn_2005;superf_ha_2006;rdt_kg_ha_2006;prod_tonn_2006;superf_ha_2007;rdt_kg_ha_2007;prod_tonn_2007;superf_ha_2008;rdt_kg_ha_2008;prod_tonn_2008;superf_ha_2009;rdt_kg_ha_2009;prod_tonn_2009;superf_ha_2010;rdt_kg_ha_2010;prod_tonn_2010;superf_ha_2011;rdt_kg_ha_2011;prod_tonn_2011;superf_ha_2012;rdt_kg_ha_2012;prod_tonn_2012
Dakar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Diourbel;479;475;107;4469;622;1339;3822,5;1500;1926,45;960;1500;443;763;800;208,75;1250;850;345;392,5736248;550;107,8021681;0;0;0;28,48363873;300;8,54509162;0;0;0
Fatick;0;0;0;0;0;0;768;1750;416,05;2754;1050;1517;30;300;9;150;300;45;753,0079893;600;225,9023968;0;0;0;82,37160353;1392;114,6612721;169;700;118,3
Kaffrine;0;0;0;0;0;0;23943;650;15562,95;16735;550;9204;7000;300;2100;9613;400;3845,2;10554,12552;1200;4221,650209;10568;1746;4336,992;5829,292574;1746;2383,442079;7572,094243;1924;3309,898589
Kaolack;0;0;0;4438;650;2885;5975;1200;3585;5764;1150;3333;3693;550;963;4103;1000;2051,5;1436,221026;464,4;419,5862438;533;650;172,35;228,5069643;350;79,9774375;656,0637067;1150;290,5229832
Kolda;0;0;0;7240;1350;4828;3120;1150;2000,4;4998,4;400;1999,36;862;400;345;1534;1000;767;27,41476447;500;13,70738223;147;1020;75,62;168,4836121;1520;86,36180604;177,8676977;1036;89,59114096
Sédhiou;10782;0;0;6135;650;3988;4810;650;3127;11312,8;650;7353,32;983;450;442;4068;500;2034;2062,953993;1000;1031,476996;606;1000;303;1132,161879;1500;566,0809396;0;0;0
Louga;185;450;44;0;0;0;3025;900;1225;404,8;900;163,04;192;475;38;151;175;26,425;0;0;0;0;0;0;0;0;0;0;0;0
Saint Louis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tambacounda;0;0;0;3085;500;1542,5;1108;550;609,4;794;550;436;325;400;130;3127;400;1250,8;1488,035431;800;595,2141725;665;800;266;813,8722118;917,8947368;404,8141425;527,6741;1000;263,83705
Thiès;0;0;0;955;1050;513;77;900;34,8;497;800;198,8;135;450;30;650;950;265;0;0;0;0;0;0;0;0;0;0;0;0
Ziguinchor;1719;760;653;2873;1224;1706;1053;1150;630,5;2380;1000;1008;0;0;0;453;400;181,2;332,5327821;500;166,2663911;117;500;58,5;40,07404525;500;20,03702262;14,08068267;500;7,040341333
Matam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kédougou;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
