region;superf_ha_2003;rdt_kg_ha_2003;prod_tonn_2003;superf_ha_2004;rdt_kg_ha_2004;prod_tonn_2004;superf_ha_2005;rdt_kg_ha_2005;prod_tonn_2005;superf_ha_2006;rdt_kg_ha_2006;prod_tonn_2006;superf_ha_2007;rdt_kg_ha_2007;prod_tonn_2007;superf_ha_2008;rdt_kg_ha_2008;prod_tonn_2008;superf_ha_2009;rdt_kg_ha_2009;prod_tonn_2009;superf_ha_2010;rdt_kg_ha_2010;prod_tonn_2010;superf_ha_2011;rdt_kg_ha_2011;prod_tonn_2011;superf_ha_2012;rdt_kg_ha_2012;prod_tonn_2012
Dakar;0;0;0;198;300;59,4;68;600;40,8;120;500;60;0;0;0;246;500;123;31,96249969;500;15,98124984;223;681;151,863;126,0213853;580;73,09240345;358,1506222;462;165,4655875
Diourbel;2310;1310;985,13;7050;866;2823,03;2710;2050;1817,1;1904;990;580,62;2161;1246;922,506;2907;1777,58;1519,87094;11116,08725;2009,615385;6609,100021;3684;1577;2106,661;2220,838848;1668,355714;1374,147257;2651,730136;1935;1755,036095
Fatick;12857;2150;9846,15;6788;1727;3341,465;5194;2594;4299,676;7023;2132;4559,744;8386;942;3424,576;15312;3132;16072,56;11966,07088;3109,868421;10499,48258;12832;2976;10788,942;9432,041662;2494,303333;7085,741329;8225,647667;2399;6579,845378
Kaffrine;52024;1000;52024;34583;853;29499,299;21411;1014;21710,754;29035;1142;33157,97;30825;641;19758,825;42733;1100;47006,3;43636,17124;4036,477786;44048,1157;39148;4180;42561,163;28174,25117;2266,845909;16790,8825;34853;4328;36978,826
Kaolack;6918;1680;5803,84;7212;2047;6828,1;5083;2100;5027,7;8886;1900;7853,2;12398;1300;6843,7;22990;1750;19562,3;15966,22813;2030,714286;9797,401794;6762;2521;5866,954;8343,154956;1941,231429;4572,013648;8706,808684;2614;7492,069125
Kolda;28032;1827;25618,507;27685;1886;25971,293;27321;1839;25140,582;32445;1720;27659,94;32007;1610;25709,553;55531;1911;51208,103;45171,24917;2595;40073,36277;25177;2422;18882,384;20872,89005;2218,648276;15454,1788;20130;2560;17248,6
Sédhiou;6084;939;5712,876;2723;1095;2981,685;9346;774;7233,804;6838;669;4574,622;1873;729;1365,417;10160;1123;11409,68;12392,5024;3612,347273;14502,14746;1732;3810;2162,82;3420,148911;2010,301667;2318,902084;1596;3384;1842,84
Louga;6204;1000;1881,4;6744;0;0;2125;1300;917,2;5747;1900;3706,6;4033;800;862,9;5270;1800;3162;10514,05167;752,5;4888,570461;5873;1500;3594,4;1419,654834;1148;508,6041402;355,9591006;1400;168,1754604
Saint Louis;0;0;0;3112;0;0;5565;700;3895,5;4230;900;2106,8;721;400;288,4;652;2831;1436,959;4297,747512;473,5;391,0818928;2087;419;146,251;420,7841127;69;29,03410377;554,8516403;1450;409,3961482
Tambacounda;57223;2459;68206,416;34684;2397;44296,722;42069;2359;51701,334;35947;1679;27981,445;38369;1468;31600,93;63527;2256;75342,57;43814,61559;5314,279537;52851,7657;48564;4041;46368,599;37480,41;2122,284524;22492,455;42764;4579,214625;41430,1831
Thiès;14997;1143;5769,117;8282;129;876,426;8181;1270;5225,78;11401;1511;4815,251;11021;1009;3666,337;11034;2415;8964,945;14622,10059;1237,292373;8872,366332;14313;2463;13570,197;8773,806593;2118,698485;7782,269328;9460,525063;2205,14697;8180,388391
Ziguinchor;1447;850;1229,95;924;1660;745,98;991;985;976,135;1160;2450;931,9;950;1000;469,66;915;2310;728,13;232,5897251;1600;186,0717801;27;639;17,253;105,9124507;1363,328333;78,33982556;127,7837655;1666,2;104,6616007
Matam;14291;1391;6106,392;20509;1142;7064,824;15861;2473;12689,332;12405;370;1605,83;10135;542;2440,794;10065;1271;3964,846;19158,25637;3534,4;22431,36549;10547;3224;13237,802;12519,33496;1665,331667;6169,948217;8377,12936;2606;7243,128498
Kédougou;4938;1100;5431,8;2636;760;2003,36;3248;1020;3312,96;1922;733;1408,826;2421;672;1626,912;4223;1023;4320,129;2449,121026;2901,655411;2353,944931;3295;2867;3143,587;2650,271358;1878,291667;2134,908979;5109,726481;4702;7975,437902
